
* 광부 스킬추가 및 조정
곡괭이 효율 I : 곡괭이 채굴 속도 5% 증가 (스킬해방레벨 :0 , 구매가격 : 10)
더블 드롭 X : 광물을 채굴 시 드롭이 2배 (발동확률 50%) (스킬해방레벨 : 50, 구매가격 : 28)

EXP 부스팅 I : 광물 채굴 시 얻는 경험치 10% 증가 (스킬해방레벨 :0 , 구매가격 : 10)
EXP 부스팅 II : 광물 채굴 시 얻는 경험치 20% 증가 (스킬해방레벨 :5 , 구매가격 : 12)
EXP 부스팅 III :광물 채굴 시 얻는 경험치 30% 증가 (스킬해방레벨 : 10, 구매가격 : 14)
EXP 부스팅 IV : 광물 채굴 시 얻는 경험치 40% 증가 (스킬해방레벨 : 15, 구매가격 : 16)
EXP 부스팅 V : 광물 채굴 시 얻는 경험치 50% 증가 (스킬해방레벨 : 20, 구매가격 : 18)
EXP 부스팅 VI : 광물 채굴 시 얻는 경험치 60% 증가 (스킬해방레벨 :25 , 구매가격 : 20)
EXP 부스팅 VII : 광물 채굴 시 얻는 경험치 70% 증가 (스킬해방레벨 :30 , 구매가격 : 22)
EXP 부스팅 VIII : 광물 채굴 시 얻는 경험치 80% 증가 (스킬해방레벨 : 35, 구매가격 : 24)
EXP 부스팅 IX : 광물 채굴 시 얻는 경험치 90% 증가 (스킬해방레벨 : 40, 구매가격 : 26)
EXP 부스팅 X : 광물 채굴 시 얻는 경험치 100% 증가 (스킬해방레벨 : 50, 구매가격 : 28)

사거리 증가 I : 블록 캐는 사거리 0.5칸 증가 (스킬해방레벨 :0 , 구매가격 : 10)
사거리 증가 II : 블록 캐는 사거리 1칸 증가 (스킬해방레벨 :5 , 구매가격 : 12)
사거리 증가 III :블록 캐는 사거리 1.5칸 증가 (스킬해방레벨 : 10, 구매가격 : 14)
사거리 증가 IV : 블록 캐는 사거리 2칸 증가 (스킬해방레벨 : 15, 구매가격 : 16)
사거리 증가 V : 블록 캐는 사거리 2.5칸 증가 (스킬해방레벨 : 20, 구매가격 : 18)
사거리 증가 VI : 블록 캐는 사거리 3칸 증가 (스킬해방레벨 :25 , 구매가격 : 20)
사거리 증가 VII : 블록 캐는 사거리 3.5칸 증가 (스킬해방레벨 :30 , 구매가격 : 22)
사거리 증가 VIII : 블록 캐는 사거리 4칸 증가 (스킬해방레벨 : 35, 구매가격 : 24)
사거리 증가 IX : 블록 캐는 사거리 4.5칸 증가 (스킬해방레벨 : 40, 구매가격 : 26)
사거리 증가 X : 블록 캐는 사거리 5칸 증가 (스킬해방레벨 : 50, 구매가격 : 28)

